Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.227493721448738,0.129991746215678,0.055502832081865,0,0,0,0.216733439830945,0.000468061564597411,1.23484133433752E-05,2.95135187879699E-06,0.000671872133092548,1.33982576089313E-06,0.000915513516795275,0,0,0,0,0,0,package://l_BOT_URDF_renamed v3222(2)/meshes/base_link.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://l_BOT_URDF_renamed v3222(2)/meshes/base_link.STL,,BASE_LINK^l_BOT_URDF_renamed v3222(2)-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
s1,-0.17622,0.060069,0.022478,0,0,0,0.055057,1.166E-05,2.8712E-06,-3.1749E-07,1.1685E-05,3.1572E-07,9.2502E-06,0,0,0,0,0,0,package://l_BOT_URDF_renamed v3222(2)/meshes/s1.STL,0.64314,0.58824,0.89412,1,0,0,0,0,0,0,package://l_BOT_URDF_renamed v3222(2)/meshes/s1.STL,,SERVO_1_1^l_BOT_URDF_renamed v3222(2)-1,Origin_b_s1,,b_s1,fixed,0.022459,-0.037253,0.013934,1.5708,0,0,base_link,0,0,0,,,,,,,,,,,,
l1_1,-0.36083,0.20198,0.018473,0,0,0,0.0211,1.7734E-05,3.4888E-06,-1.7345E-07,2.1305E-05,3.9341E-07,1.1118E-05,0,0,0,0,0,0,package://l_BOT_URDF_renamed v3222(2)/meshes/l1_1.STL,0.69804,0.69804,0.69804,1,0,0,0,0,0,0,package://l_BOT_URDF_renamed v3222(2)/meshes/l1_1.STL,,LEG_1_1^l_BOT_URDF_renamed v3222(2)-1,Origin_j1_1,Axis1,j1_1,fixed,-0.49904,0.23109,-0.0012,0,0,-3.1383,s1,0,0,0,,,,,,,,,,,,
s1_2,-0.36367,0.22238,0.019414,0,0,0,0.032837,8.9139E-06,-2.9689E-06,2.487E-07,8.9836E-06,2.4579E-07,8.2669E-06,0,0,0,0,0,0,package://l_BOT_URDF_renamed v3222(2)/meshes/s1_2.STL,0.64314,0.58824,0.89412,1,0,0,0,0,0,0,package://l_BOT_URDF_renamed v3222(2)/meshes/s1_2.STL,,SERVO_1_2^l_BOT_URDF_renamed v3222(2)-1,Origin_l1_1_s1_2,,l1_1_s1_2,fixed,0,0,0,0,0,0.002602,l1_1,0,0,0,,,,,,,,,,,,
l1_2,-0.40004,0.24909,0.0080402,0,0,0,0.019253,1.4854E-05,1.0318E-06,1.091E-07,1.4164E-05,-5.4504E-08,2.8004E-05,0,0,0,0,0,0,package://l_BOT_URDF_renamed v3222(2)/meshes/l1_2.STL,0.69804,0.69804,0.69804,1,0,0,0,0,0,0,package://l_BOT_URDF_renamed v3222(2)/meshes/l1_2.STL,,LEG_1_2^l_BOT_URDF_renamed v3222(2)-1,Origin_j1_2,Axis2,j1_2,fixed,0,0,0,0.0028824,0.0028636,-0.0025979,s1_2,0,0,0,,,,,,,,,,,,
s1_3,-0.43303,0.29344,0.0087128,0,0,0,0.024173,4.8538E-06,2.4864E-07,-5.9184E-09,5.9269E-06,4.3491E-09,8.535E-06,0,0,0,0,0,0,package://l_BOT_URDF_renamed v3222(2)/meshes/s1_3.STL,0.64314,0.58824,0.89412,1,0,0,0,0,0,0,package://l_BOT_URDF_renamed v3222(2)/meshes/s1_3.STL,,SERVO_1_3^l_BOT_URDF_renamed v3222(2)-1,Origin_j1_3,Axis3,j1_3,fixed,0,0,0,-0.00069822,-0.00069008,0.0026023,l1_2,0,0,0,,,,,,,,,,,,
l1_3,-0.45492,0.29886,0.014437,0,0,0,0.02038,1.6774E-05,1.0677E-05,-2.5316E-06,1.3435E-05,1.9383E-06,2.5517E-05,0,0,0,0,0,0,package://l_BOT_URDF_renamed v3222(2)/meshes/l1_3.STL,0.69804,0.69804,0.69804,1,0,0,0,0,0,0,package://l_BOT_URDF_renamed v3222(2)/meshes/l1_3.STL,,LEG_1_3^l_BOT_URDF_renamed v3222(2)-1,Origin_s1_3_l1_3,,s1_3_l1_3,fixed,0,0,0,0,0,-0.002602,s1_3,0,0,0,,,,,,,,,,,,
f_1,-0.51325,0.36426,-0.018726,0,0,0,0.0030798,1.7526E-07,-3.1591E-08,6.2592E-09,1.7567E-07,-6.2989E-09,2.0503E-07,0,0,0,0,0,0,package://l_BOT_URDF_renamed v3222(2)/meshes/f_1.STL,0.69804,0.69804,0.69804,1,0,0,0,0,0,0,package://l_BOT_URDF_renamed v3222(2)/meshes/f_1.STL,,FEET_1^l_BOT_URDF_renamed v3222(2)-1,Origin_j1_4,Axis4,j1_4,fixed,-0.0016273,0.002018,0.042565,-0.050665,-0.050271,0.001274,l1_3,0,0,0,0,0,-1.57,1.57,,,,,,,,
s2,-0.32229,0.060029,0.022478,0,0,0,0.055057,1.1685E-05,-2.8712E-06,3.1572E-07,1.166E-05,3.1749E-07,9.2502E-06,0,0,0,0,0,0,package://l_BOT_URDF_renamed v3222(2)/meshes/s2.STL,0.64314,0.58824,0.89412,1,0,0,0,0,0,0,package://l_BOT_URDF_renamed v3222(2)/meshes/s2.STL,,SERVO_2_1^l_BOT_URDF_renamed v3222(2)-1,Origin_b_s2,,b_s2,fixed,0.022459,-0.037253,0.013934,1.5708,0,0,base_link,0,0,0,,,,,,,,,,,,
l2_1,-0.36083,0.20198,0.018473,0,0,0,0.0211,1.7734E-05,3.4888E-06,-1.7345E-07,2.1305E-05,3.9341E-07,1.1118E-05,0,0,0,0,0,0,package://l_BOT_URDF_renamed v3222(2)/meshes/l2_1.STL,0.69804,0.69804,0.69804,1,0,0,0,0,0,0,package://l_BOT_URDF_renamed v3222(2)/meshes/l2_1.STL,,LEG_2_1^l_BOT_URDF_renamed v3222(2)-1,Origin_j2_1,Axis5,j2_1,fixed,-0.14616,0.38005,-0.0012,0,0,1.5585,s2,0,0,0,,,,,,,,,,,,
