Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.227493721449308,0.129991746243675,0.0555028320183144,0,0,0,0.216733439424429,0.000468061564094102,1.23484133859042E-05,2.95135168313925E-06,0.00067187213255609,1.33982564991574E-06,0.000915513516700903,0,0,0,0,0,0,package://reccobot_description/meshes/base_link.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://reccobot_description/meshes/base_link.STL,,BASE_LINK^reccobot_description-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
servo11,-0.17622,0.060069,0.022478,0,0,0,0.055057,1.166E-05,2.8712E-06,-3.1749E-07,1.1685E-05,3.1572E-07,9.2502E-06,0,0,0,0,0,0,package://reccobot_description/meshes/servo11.STL,0.64314,0.58824,0.89412,1,0,0,0,0,0,0,package://reccobot_description/meshes/servo11.STL,,SERVO_1_1^reccobot_description-1,Origin_base_servo112,,base_servo11,fixed,0.022459,-0.037253,0.013934,1.5708,0,0,base_link,0,0,0,,,,,,,,,,,,
coxa1l,-0.031783529731658,0.0231299258057219,0.0172727573242147,0,0,0,0.0210998931296677,1.77344719326153E-05,3.48878926734278E-06,-1.73448229544293E-07,2.13052902677955E-05,3.93407587336972E-07,1.11184022512421E-05,0,0,0,0,0,0,package://reccobot_description/meshes/coxa1l.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://reccobot_description/meshes/coxa1l.STL,,LEG_1_1^reccobot_description-1,Origin_coxa1j2,Axis_coxa1j2,coxa1j,revolute,-0.16941,0.053318,0,0,0,3.1194,servo11,0,0,1,1,6,-1.57,1.57,0,0,0.05,0.02,1.4,-1.4,30,0.5
servo12,-0.364027031928889,0.221609020499465,0.0194140519398458,0,0,0,0.032837341863771,8.91392891154251E-06,-2.96887244021664E-06,2.48695120478788E-07,8.98362999365117E-06,2.45792507834053E-07,8.26690043502531E-06,0,0,0,0,0,0,package://reccobot_description/meshes/servo12.STL,0.643137254901961,0.588235294117647,0.894117647058823,1,0,0,0,0,0,0,package://reccobot_description/meshes/servo12.STL,,SERVO_1_2^reccobot_description-1,Origin_coxa1_servo122,,coxa1_servo12,fixed,0.3294,-0.17808,-0.0012,0,0,0.002602,coxa1l,0,0,0,,,,,,,,,,,,
femur1l,-0.0969389150859866,-0.0331343043722141,-0.000197850701517746,0,0,0,0.019252812658229,1.48542331366969E-05,1.03180072158057E-06,1.09104621244036E-07,1.41644288284789E-05,-5.45032620583719E-08,2.8003778626815E-05,0,0,0,0,0,0,package://reccobot_description/meshes/femur1l.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://reccobot_description/meshes/femur1l.STL,,LEG_1_2^reccobot_description-1,Origin_femur1j2,Axis_femur1j2,femur1j,revolute,-0.3027,0.28222,0.0099194,-0.0053339,-0.0052991,-0.0025879,servo12,0.70941,0.70479,0,4,5.2,-1.57,1.57,,,0.1,0.05,1.4,-1.4,80,1
servo13,-0.0350095850454116,-0.0215653267559031,-1.98928617279256E-05,0,0,0,0.0241727614673822,4.85376814796249E-06,2.48640535301553E-07,-5.91906526276493E-09,5.92686146082808E-06,4.34982077248791E-09,8.53500109133005E-06,0,0,0,0,0,0,package://reccobot_description/meshes/servo13.STL,0.643137254901961,0.588235294117647,0.894117647058823,1,0,0,0,0,0,0,package://reccobot_description/meshes/servo13.STL,,SERVO_1_3^reccobot_description-1,Origin_tibia1j2,Axis_tibia1j2,tibia1j,revolute,-0.095741,0.031748,0,0.0075394,0.0074512,0.0026301,femur1l,0.71124,0.70294,0,1,6,-1.57,1.57,,,0.05,0.02,1.4,-1.4,30,0.5
tibia1l,-0.455256586442077,0.29810523231319,0.0133956395769309,0,0,0,0.0203799728923894,1.67743453323067E-05,1.06771996699811E-05,-2.53160566182682E-06,1.34347140463777E-05,1.93830128872836E-06,2.5516950009184E-05,0,0,0,0,0,0,package://reccobot_description/meshes/tibia1l.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://reccobot_description/meshes/tibia1l.STL,,LEG_1_3^reccobot_description-1,Origin_servo13_tibia1l2,,servo13_tibia1l,fixed,0.39838,-0.31423,-0.0076912,0,0,-0.002602,servo13,0,0,0,,,,,,,,,,,,
feet1,-0.0201025875161129,-0.0114983438665156,-0.00520049603956912,0,0,0,0.003079829271407,1.75255793017129E-07,-3.15913841474438E-08,6.25915989212759E-09,1.75668997697067E-07,-6.29890327276735E-09,2.05025345317238E-07,0,0,0,0,0,0,package://reccobot_description/meshes/feet1.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://reccobot_description/meshes/feet1.STL,,FEET_1^reccobot_description-1,Origin_feet1j2,Axis_feet1j2,feet1j,revolute,-0.49335,0.37521,-0.015754,-0.050665,-0.050271,0.001274,tibia1l,0.70941,0.70479,0,0,10,-0.785,0.785,,,0.2,0.05,0.7,-0.7,5,0.1
servo21,-0.322289915553315,0.0600292971769946,0.0224779989169101,0,0,0,0.0550572632102972,1.16849388814822E-05,-2.87122122969457E-06,3.15715740427033E-07,1.16596364253512E-05,3.17489347279061E-07,9.25022418211167E-06,0,0,0,0,0,0,package://reccobot_description/meshes/servo21.STL,0.643137254901961,0.588235294117647,0.894117647058823,1,0,0,0,0,0,0,package://reccobot_description/meshes/servo21.STL,,SERVO_2_1^reccobot_description-1,Origin_base_servo212,,base_servo21,fixed,0.022459,-0.037253,0.013934,1.5708,0,0,base_link,0,0,0,,,,,,,,,,,,
coxa2l,-0.0317835318991771,0.0231299252235586,0.0172727578917613,0,0,0,0.0210998942749586,1.77344720147065E-05,3.48878892525706E-06,-1.73447181179619E-07,2.13052915102114E-05,3.93407923297153E-07,1.11184035463231E-05,0,0,0,0,0,0,package://reccobot_description/meshes/coxa2l.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://reccobot_description/meshes/coxa2l.STL,,LEG_2_1^reccobot_description-1,Origin_coxa2j2,Axis_coxa2j,coxa2j,revolute,-0.32904,0.053225,0,0,0,1.5445,servo21,0,0,1,1,6,-1.57,1.57,,,0.05,0.02,1.4,-1.4,30,0.5
